Port,Service Name (TCP),Service Name (UDP)
1,tcpmux,N/A
7,echo,echo
9,discard,discard
11,systat,N/A
13,daytime,daytime
15,netstat,N/A
17,qotd,N/A
19,chargen,chargen
20,ftp-data,N/A
21,ftp,fsp
22,ssh,N/A
23,telnet,N/A
25,smtp,N/A
37,time,time
43,whois,N/A
49,tacacs,tacacs
53,domain,domain
67,N/A,bootps
68,N/A,bootpc
69,N/A,tftp
70,gopher,N/A
79,finger,N/A
80,http,N/A
88,kerberos,kerberos
102,iso-tsap,N/A
104,acr-nema,N/A
106,poppassd,N/A
110,pop3,N/A
111,sunrpc,sunrpc
113,auth,N/A
119,nntp,N/A
123,N/A,ntp
135,epmap,N/A
137,N/A,netbios-ns
138,N/A,netbios-dgm
139,netbios-ssn,N/A
143,imap2,N/A
161,snmp,snmp
162,snmp-trap,snmp-trap
163,cmip-man,cmip-man
164,cmip-agent,cmip-agent
174,mailq,N/A
177,N/A,xdmcp
179,bgp,N/A
199,smux,N/A
209,qmtp,N/A
210,z3950,N/A
213,N/A,ipx
319,N/A,ptp-event
320,N/A,ptp-general
345,pawserv,N/A
346,zserv,N/A
369,rpc2portmap,rpc2portmap
370,codaauth2,codaauth2
371,N/A,clearcase
389,ldap,ldap
427,svrloc,svrloc
443,https,https
444,snpp,N/A
445,microsoft-ds,N/A
464,kpasswd,kpasswd
465,submissions,N/A
487,saft,N/A
500,N/A,isakmp
512,exec,biff
513,login,who
514,shell,syslog
515,printer,N/A
517,N/A,talk
518,N/A,ntalk
520,N/A,route
538,gdomap,gdomap
540,uucp,N/A
543,klogin,N/A
544,kshell,N/A
546,N/A,dhcpv6-client
547,N/A,dhcpv6-server
548,afpovertcp,N/A
554,rtsp,rtsp
563,nntps,N/A
587,submission,N/A
607,nqs,N/A
623,N/A,asf-rmcp
628,qmqp,N/A
631,ipp,N/A
636,ldaps,ldaps
646,ldp,ldp
655,tinc,tinc
706,silc,N/A
749,kerberos-adm,N/A
750,kerberos4,kerberos4
751,kerberos-master,kerberos-master
752,N/A,passwd-server
754,krb-prop,N/A
775,moira-db,N/A
777,moira-update,N/A
779,N/A,moira-ureg
783,spamd,N/A
853,domain-s,domain-s
871,supfilesrv,N/A
873,rsync,N/A
989,ftps-data,N/A
990,ftps,N/A
992,telnets,N/A
993,imaps,N/A
995,pop3s,N/A
